"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. es.036" 1 1 0 16 0 2 2 2 0 2 1 1 9 4 1 1 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Thermoactinomycetaceae.Thermoactinomyces.Thermoactinomyces sp. DSM 45891" 1 4 1 2 2 1 0 0 1 1 1 0 1 0 2 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus.Lactococcus sp. DD01" 1 1 0 0 1 0 0 0 0 0 5 0 2 2 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus mediterraneensis" 1 6 1 24 8 5 12 2 3 4 3 6 9 3 0 1 1 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. 4E1_DIV0656" 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 2 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.Dehalobacter.Dehalobacter sp. MCB1" 1 2 0 1 10 3 1 0 0 2 0 5 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. MYb209" 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. KS1" 1 1 2 4 0 0 2 3 3 0 0 7 11 1 0 1 3 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Floricoccus.Floricoccus tropicus" 1 2 9 19 8 2 4 10 6 2 2 6 2 6 2 1 1 2
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. CCUG 49591" 1 0 0 0 0 0 0 5 0 1 1 3 5 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. NH11B" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. OK060" 1 1 0 5 2 0 0 5 0 0 0 2 3 0 1 1 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. OK838" 1 20 5 3 0 1 0 2 2 1 1 13 1 0 2 11 1 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. OV166" 1 2 0 6 2 1 15 5 15 13 1 3 10 4 1 0 17 19
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.Veillonella sp. T14073-2" 1 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.Geobacillus genomosp. 3" 1 4 2 20 9 3 4 3 11 30 1 3 7 4 0 0 6 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Geobacillus.Geobacillus sp. 46C-IIa" 1 0 1 3 25 0 1 1 6 4 0 3 0 17 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Romboutsia.Romboutsia sp." 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Gemella.Gemella sp." 1 0 0 3 0 0 0 2 0 1 0 1 0 2 0 0 2 2
"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.Anaerococcus.Anaerococcus sp. Marseille-P3625" 1 0 5 10 4 0 8 2 1 1 1 1 18 7 2 4 57 13
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. KR" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. P14.5" 1 2 3 1 17 0 0 0 2 7 0 3 2 10 2 3 1 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.Staphylococcus.Staphylococcus cornubiensis" 1 0 0 0 0 0 0 1 0 0 0 0 3 1 1 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus quenuiae" 1 4 1 1 0 0 3 1 1 1 1 1 0 1 1 5 0 10
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus timberlakei" 1 2 2 6 2 0 0 3 0 6 0 2 14 0 1 0 0 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus panisapium" 1 2 3 7 1 1 4 3 3 1 70 3 4 0 1 1 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus paramycoides" 1 5 2 0 15 2 2 0 1 0 1 3 3 6 4 0 2 0
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.Veillonella sp. T34266-5" 1 1 1 0 1 254 2 0 0 7 1 1 3 2 1 0 3 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. AFS059628" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. UMNPBX10" 1 0 0 48 3 2 0 0 0 0 0 0 125 19 3 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Sporosarcina.Sporosarcina sp. P7" 1 0 4 1 0 0 0 1 3 0 1 1 3 0 3 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Sporosarcina.Sporosarcina sp. P34" 1 8 0 3 7 0 1 0 1 0 0 7 4 0 0 2 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. V33-4" 1 7 2 2 1 0 2 2 2 2 5 2 3 1 1 0 1 2
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. CR-Ec1" 1 0 0 0 0 0 0 0 0 1 0 1 4 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. FDAARGOS_375" 1 5 1 18 4 1 1 0 0 1 6 4 6 3 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. ESL0259" 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. ESL0261" 1 2 4 0 2 0 3 6 5 0 0 1 0 0 1 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. ESL0230" 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. HT06-2" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus chiayiensis" 1 0 1 2 1 1 7 0 3 1 0 8 3 1 2 1 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. B203-G5 25_7" 1 1 0 0 0 1 0 0 0 0 0 0 2 1 2 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. CFBP13512" 1 0 3 2 3 1 0 0 0 3 0 1 0 5 0 0 2 4
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Fictibacillus.Fictibacillus sp. S7" 1 1 0 2 4 0 0 1 0 0 1 2 6 0 0 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Planomicrobium.Planomicrobium sp. Y50" 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Paraliobacillus.Paraliobacillus sp. X-1174" 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Paraliobacillus.Paraliobacillus sp. X-1268" 1 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. AR18-7" 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. BCA20" 1 0 0 1 0 0 0 0 0 8 0 1 1 0 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. LQJ-218" 1 0 1 0 3 0 0 2 0 0 0 1 0 3 1 1 0 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Absiella.Absiella sp. AM09-45" 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0
"Bacteria.Firmicutes.NA.NA.NA.NA.Firmicutes bacterium AF25-13AC" 1 3 1 5 5 9 0 2 0 0 3 2 3 0 0 0 0 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Absiella.Absiella sp. AM54-8XD" 1 0 0 1 1 1 0 1 0 1 2 1 11 3 15 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. AM39-5BH" 1 11 0 4 3 4 0 3 0 0 0 3 7 7 0 0 1 1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.Lachnospiraceae bacterium AM23-7LB" 1 2 3 0 1 3 3 2 1 1 1 1 4 3 0 1 1 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Catenibacterium.Catenibacterium sp. AM22-6LB" 1 5 1 3 2 3 4 0 0 6 0 1 7 2 3 0 0 4
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium sp. AF46-12NS" 1 5 3 42 94 4 1 0 0 315 2 0 143 0 6 0 14 12
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus.Coprobacillus sp. AM32-11LB" 1 0 1 2 0 5 0 0 1 0 12 1 69 2 0 0 0 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Melissococcus.Melissococcus sp. OM08-11BH" 1 3 0 4 13 1 0 1 3 5 2 4 1 2 1 5 2 1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia.Roseburia sp. OM04-10AA" 1 0 1 0 5 0 0 0 0 0 3 12 11 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus sp. AF25-13" 1 2 0 0 14 1 0 0 0 0 0 1 1 0 0 2 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus sp. AM27-11LB" 1 0 0 0 19 3 3 5 0 1 5 4 6 3 70 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus.Ruminococcus sp. TF11-2AC" 1 46 0 7 1 29 1 5 8 3 5 5 61 2 1 0 3 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. AM28-20" 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.Veillonella sp. AF13-2" 1 4 1 8 8 7 0 0 0 0 4 6 2 0 0 0 0 34
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.NA.Erysipelotrichaceae bacterium AF15-26LB" 1 0 0 1 0 0 3 8 2 2 0 13 4 1 0 1 2 4
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.NA.Erysipelotrichaceae bacterium AM07-12" 1 0 0 1 0 0 0 0 0 0 0 1 3 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus zhachilii" 1 0 2 13 6 6 0 0 5 0 1 2 14 1 2 0 2 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. 2B10" 1 0 1 1 5 0 2 63 7 0 5 0 2 0 3 0 4 10
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 116-2" 1 3 0 4 2 0 0 1 1 0 2 2 2 0 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 204-8" 1 0 0 6 7 1 4 1 2 1 1 3 5 1 1 1 3 2
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. M1575" 1 3 0 13 0 1 1 30 16 2 13 2 1 1 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 73-4" 1 5 4 2 4 1 5 7 7 8 0 5 15 3 0 0 11 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 187-3" 1 2 8 11 19 0 2 4 4 34 0 5 27 0 0 1 1 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. 112-3" 1 0 1 0 6 1 2 1 1 4 2 0 2 0 0 4 4 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. Marseille-P6264" 1 0 3 2 0 1 0 0 0 1 0 0 1 2 0 1 0 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. Marseille-P644" 1 0 0 0 66 2 0 0 0 13 0 0 1 29 1 1 0 3
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. Marseille-P7375" 1 0 3 1 0 1 1 4 2 0 1 0 11 0 0 1 2 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Paenibacillus.Paenibacillus sp. M-152" 1 1 15 28 0 1 0 3 2 1 1 1 1 1 0 0 1 1
"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.Veillonella.Veillonella sp. CNR 79/14" 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Anoxybacillus.Anoxybacillus sp. MB8" 1 8 2 1 2 11 0 0 0 0 0 4 4 0 1 1 15 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus taxi" 1 5 3 4 1 5 0 0 0 1 2 3 12 0 0 0 0 1
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. E(2018)" 1 1 1 1 0 1 1 0 1 1 0 5 3 0 1 0 1 2
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.Exiguobacterium.Exiguobacterium sp. SL-10" 1 0 0 2 0 0 0 0 5 0 1 1 1 0 0 0 0 5
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. BK006" 1 2 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. KCJ4932" 1 2 4 1 2 2 2 1 1 0 0 9 7 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. 1643" 1 0 0 3 0 0 0 0 0 12 0 0 0 1 0 1 0 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus sp. M190262" 1 0 0 0 0 5 2 0 0 1 0 1 3 2 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium.Faecalibacterium sp. BIOML-A1" 1 1 0 11 12 1 3 0 5 0 3 0 5 4 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Lactonifactor.Lactonifactor sp. BIOML-A3" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.Pseudoflavonifractor sp. BIOML-A5" 1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.Pseudoflavonifractor sp. BIOML-A7" 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.Pseudoflavonifractor sp. BIOML-A11" 1 0 0 0 0 1 0 0 0 0 1 2 1 1 0 0 1 1
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Pseudoflavonifractor.Pseudoflavonifractor sp. BIOML-A16" 1 0 1 0 0 1 0 0 1 1 0 5 0 0 0 0 1 13
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. E214" 1 0 0 0 0 1 11 0 2 0 0 1 0 0 2 0 3 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. Cs-700" 1 1 0 0 4 0 0 3 0 0 0 1 0 2 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lysinibacillus.Lysinibacillus sp. BW-2-10" 1 0 0 0 2 1 0 3 0 4 0 2 2 3 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.Brevibacillus.Brevibacillus sp. LEMMJ03" 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 3
"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.Planococcus.Planococcus sp. ANT_H30" 1 0 6 1 9 13 5 0 2 2 1 3 3 7 1 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. CH30_1T" 1 1 2 0 3 0 4 1 2 4 0 6 2 1 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. JC-4" 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. N3536" 1 1 0 2 1 0 2 0 2 1 2 1 2 0 1 0 9 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Lysinibacillus.Lysinibacillus sp. SYSU K30005" 1 2 0 3 0 2 1 1 1 1 1 3 6 0 16 0 25 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus sp. CRM56-3" 1 0 1 3 7 1 2 8 34 6 2 2 5 0 2 1 13 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelothrix.Erysipelothrix sp. D16_1007-1-1-1" 1 3 0 0 0 0 0 0 0 0 1 8 2 0 1 0 0 0
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelothrix.Erysipelothrix sp. D17_0559-3-2-1" 1 1 1 6 0 2 0 0 1 2 0 31 2 0 0 0 1 0
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. CNU 77-61" 1 6 0 0 2 0 0 0 0 2 2 0 0 0 0 0 0 0
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. FJAT-2464" 1 8 1 3 6 20 0 4 0 0 1 0 1 0 35 0 0 1
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus sp. ZJ373" 1 0 0 0 1 0 1 0 1 5 3 3 1 3 2 0 0 2
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.Bacillus sp. 22-7" 1 0 0 2 3 1 0 0 0 1 0 1 20 0 0 0 1 0
"Bacteria.Bacteroidetes.NA.NA.NA.NA.NA" 40090 44751 25228 60587 89577 29397 23622 53764 41465 57894 32629 29431 40847 28227 24451 52261 80586 47834
"Bacteria.Bacteroidetes.Bacteroidia.NA.NA.NA.NA" 5864 8008 3483 7838 12636 4361 5957 11363 8987 9049 5506 5104 6941 5683 4991 12054 10942 8400
"Bacteria.Bacteroidetes.Flavobacteriia.NA.NA.NA.NA" 226 269 125 441 406 104 109 181 164 259 250 192 289 129 90 131 845 347
"Bacteria.Bacteroidetes.Cytophagia.NA.NA.NA.NA" 188 104 66 247 336 32 83 64 75 372 229 64 119 112 26 94 97 70
"Bacteria.Bacteroidetes.Sphingobacteriia.NA.NA.NA.NA" 88 104 50 30 260 13 28 161 43 52 32 93 111 58 56 27 23 28
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.NA.NA.NA" 907376 767124 689521 1061147 1973991 460799 4717666 2077098 779989 1789717 727934 539738 898911 638262 870957 4009531 2139291 2612023
"Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales.NA.NA.NA" 639 726 286 884 1061 253 333 447 623 579 510 511 783 584 229 347 1159 774
"Bacteria.Bacteroidetes.Bacteroidia.Marinilabiliales.NA.NA.NA" 120 368 119 405 556 192 149 220 260 152 177 284 253 259 217 88 683 375
"Bacteria.Bacteroidetes.Cytophagia.Cytophagales.NA.NA.NA" 452 922 311 974 857 265 235 380 630 496 342 498 550 359 218 264 1101 682
"Bacteria.Bacteroidetes.Sphingobacteriia.Sphingobacteriales.NA.NA.NA" 403 435 216 610 622 237 163 292 346 516 352 297 454 198 172 234 617 342
"Bacteria.Bacteroidetes.Saprospiria.Saprospirales.NA.NA.NA" 1 1 0 10 4 0 2 1 0 7 0 4 5 1 0 2 3 6
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.NA.NA" 66172 25055 28244 48623 146520 14251 2632 7585 9568 85270 67064 54483 38638 18635 46543 11705 13187 10732
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.NA.NA" 49266 58764 31757 71746 73569 32607 49420 161688 36307 105018 34322 31525 50639 39787 55452 1058186 120512 25795
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Muribaculaceae.NA.NA" 259701 379448 120837 376298 629278 101725 125682 292328 363799 522516 302719 131007 270134 313947 152519 47827 415714 189192
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.NA.NA" 62161 52477 78275 76726 204347 96552 53057 107187 401161 70863 25129 74789 102902 47823 52762 15814 72756 378681
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.NA.NA" 158 448 85 127 281 99 102 126 126 142 115 182 167 294 41 305 158 139
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Odoribacteraceae.NA.NA" 16531 36441 11355 20794 94485 38325 82698 195953 56300 17920 96077 34666 57490 5129 5618 117937 182459 118022
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.NA.NA" 3672 5257 1483 3567 6713 1666 1623 4601 4438 4180 2768 2964 3821 3245 1836 1607 5367 3661
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Dysgonamonadaceae.NA.NA" 69 1 1 29 7 11 3 5 15 47 34 6 16 9 11 1 23 24
"Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales.Flavobacteriaceae.NA.NA" 2180 2176 979 2533 4435 1276 1098 3037 2562 3339 1429 1415 2756 1544 1040 1465 4040 2298
"Bacteria.Bacteroidetes.Sphingobacteriia.Sphingobacteriales.Sphingobacteriaceae.NA.NA" 552 613 315 747 1015 375 398 898 607 561 397 376 539 362 354 515 1176 715
"Bacteria.Bacteroidetes.Chitinophagia.Chitinophagales.Chitinophagaceae.NA.NA" 438 463 310 754 1015 400 201 929 439 688 356 372 539 361 318 153 720 366
"Bacteria.Bacteroidetes.Bacteroidia.Marinilabiliales.Marinilabiliaceae.NA.NA" 715 1044 339 786 1378 390 287 919 1088 825 507 549 617 879 307 425 1119 853
"Bacteria.Bacteroidetes.Bacteroidia.Marinilabiliales.Prolixibacteraceae.NA.NA" 435 592 339 914 1262 286 317 873 801 802 447 476 612 554 366 604 1747 1169
"Bacteria.Bacteroidetes.Cytophagia.Cytophagales.Cytophagaceae.NA.NA" 198 250 152 375 534 197 129 266 268 292 200 144 241 174 190 74 520 210
"Bacteria.Bacteroidetes.Cytophagia.Cytophagales.Hymenobacteraceae.NA.NA" 275 379 91 183 221 68 59 289 145 88 77 205 162 101 44 112 374 140
"Bacteria.Bacteroidetes.Bacteroidia.Marinilabiliales.Marinifilaceae.NA.NA" 159 260 90 179 333 144 203 252 235 186 231 160 278 181 60 142 329 132
"Bacteria.Bacteroidetes.Cytophagia.Cytophagales.Cyclobacteriaceae.NA.NA" 85 176 69 240 133 46 110 77 234 96 86 107 160 120 72 91 358 238
"Bacteria.Bacteroidetes.Cytophagia.Cytophagales.Flammeovirgaceae.NA.NA" 32 23 16 56 52 7 8 33 59 31 29 19 40 40 23 22 62 15
"Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales.Crocinitomicaceae.NA.NA" 23 24 21 79 13 14 23 10 23 26 22 16 44 29 6 13 137 38
"Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales.Cryomorphaceae.NA.NA" 129 224 68 85 248 63 64 92 223 108 109 84 96 113 30 129 169 79
"Bacteria.Bacteroidetes.Bacteroidia.Marinilabiliales.Salinivirgaceae.NA.NA" 206 149 25 94 196 33 52 17 54 209 207 79 76 35 14 17 52 27
"Bacteria.Bacteroidetes.Saprospiria.Saprospirales.Lewinellaceae.NA.NA" 6 13 3 2 0 6 0 0 1 1 14 6 2 1 0 4 0 1
"Bacteria.Bacteroidetes.Saprospiria.Saprospirales.Saprospiraceae.NA.NA" 1 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales.Schleiferiaceae.NA.NA" 3 22 2 19 23 3 1 20 56 4 11 11 26 46 2 12 6 22
"Bacteria.Bacteroidetes.NA.Bacteroidetes Order II. Incertae sedis.Rhodothermaceae.NA.NA" 2 15 1 4 1 15 0 25 6 13 3 1 20 1 2 4 10 19
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella.NA" 402920 175331 177079 411105 1025829 63566 17364 60515 57659 457743 435185 449565 242773 156940 370993 46475 71937 47570
"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.NA" 609491 659810 801167 1368951 1039332 724089 571802 2456414 432751 1743750 476607 423940 756782 358412 3418919 9888605 1977487 346020
