"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus varani",32,29,10,81,25,10
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus sp. CU12B",55,53,80,42,71,320
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. DSM 4029",21,10,20,32,5,2
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*NA*Erysipelotrichaceae bacterium GAM147",64,19,31,80,16,25
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. AM32-19",37,31,46,76,46,60
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Staphylococcus*Staphylococcus epidermidis",13,33,77,64,10,24
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Gemella*Gemella morbillorum",24,30,80,295,5,39
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus mundtii",72,27,356,94,20,29
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*Peptoniphilus harei",35,26,282,61,24,30
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Eremococcus*Eremococcus coleocola",25,21,28,45,12,19
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus minor",72,90,53,139,30,64
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Thermobacillus*Thermobacillus composti",9,43,7,24,12,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus fonticola",29,58,152,64,21,249
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Alkalibacterium*Alkalibacterium thalassium",55,27,37,41,24,97
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Cohnella*Cohnella lupini",104,66,14,82,15,21
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. GM2",96,47,28,54,57,228
"Bacteria*Firmicutes*Clostridia*NA*NA*NA*Clostridia bacterium 62_21",21,28,22,59,49,164
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. FJAT-28004",9,286,12,49,8,13
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerococcus*Anaerococcus rubeinfantis",7,24,8,18,16,3
"Bacteria*Firmicutes*Clostridia*Clostridiales*Hungateiclostridiaceae*NA*Hungateiclostridiaceae bacterium KB18",305,746,52,87,338,19
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. 41_20",92,68,83,332,353,1560
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XVI. Incertae Sedis*Carboxydocella*Carboxydocella sp. JDF658",64,44,37,82,18,38
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus lacus",11,15,43,25,8,20
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*NA*Clostridiaceae bacterium OM02-2AC",17,11,15,66,11,42
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium AF12-30",120,39,59,230,141,294
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. MM2020_4",21,34,4,34,14,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus mannanilyticus",54,31,14,45,11,47
"Bacteria*Firmicutes*Bacilli*Bacillales*Listeriaceae*Listeria*Listeria seeligeri",1,12,11,34,3,3
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium thermopalmarium",19,63,103,301,8,83
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus versmoldensis",12,22,4,25,3,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Catellicoccus*Catellicoccus marimammalium",33,20,19,124,3,5
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus ictaluri",16,23,7,39,12,8
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus merionis",125,90,15,158,16,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Streptohalobacillus*Streptohalobacillus salinus",40,40,39,41,21,43
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus pinihumi",73,54,26,87,23,25
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus timonensis",64,27,300,124,46,179
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Cohnella*Cohnella sp. G13",12,16,49,42,13,50
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Effusibacillus*Effusibacillus lacus",37,37,79,68,18,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus lonarensis",36,44,10,52,17,5
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Carnobacterium*Carnobacterium sp. CP1",23,28,25,36,17,8
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfotomaculum*Desulfotomaculum sp. 46_80",23,18,23,36,10,10
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. DMB20",69,70,23,79,12,15
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*Peptoniphilus raoultii",83,43,70,103,63,29
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Anaerococcus*Anaerococcus mediterraneensis",49,43,48,91,21,24
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*Faecalibacillus*Faecalibacillus faecis",36,35,118,89,44,40
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium HGW-Firmicutes-10",80,206,22,331,37,15
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*NA*Peptococcaceae bacterium",20,21,19,60,13,13
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. AF15-40",11,25,46,81,7,67
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Terrilactibacillus*Terrilactibacillus sp. BCM23-1",37,17,69,52,22,28
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*NA*Aerococcaceae bacterium DSM 109652",42,38,4,37,15,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. SJY2",73,83,65,86,60,160
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Staphylococcus*Staphylococcus xylosus",22,53,83,99,20,15
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus sanguinis",144,78,356,133,35,67
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus parauberis",61,83,53,75,63,110
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus brevis",108,63,17,211,48,17
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus sharpeae",5,5,10,23,6,6
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus saccharolyticus",53,119,29,227,6,18
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Megasphaera*uncultured Megasphaera sp.",30,75,48,43,13,37
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus graminis",11,30,14,25,11,5
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus taeanensis",136,34,138,35,15,32
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Anoxybacillus*Anoxybacillus vitaminiphilus",17,70,4,56,69,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus maysiensis",27,27,33,47,29,3
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Amphibacillus*Amphibacillus jilinensis",93,47,35,136,35,118
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter sp. KLE 1745",13,48,118,29,7,17
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Aneurinibacillus*Aneurinibacillus soli",45,49,35,75,12,11
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. DSM 100440",60,71,34,103,67,528
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus crassostreae",52,53,157,44,30,119
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus tuaregi",36,34,37,61,16,28
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus bouchesdurhonensis",49,40,27,41,7,9
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. AM22-22LB",52,25,43,64,12,11
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. TF11-31AT",265,160,37,102,27,9
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. AM18-55",110,212,25,70,102,17
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. OM04-12AA",86,36,13,80,8,20
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM36-18",263,101,20,141,23,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. HB172198",35,297,24,53,18,42
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. ATCC 29733",99,46,30,53,47,12
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halobacteroidaceae*Halobacteroides*Halobacteroides halobius",46,29,22,93,23,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus clausii",75,121,34,79,42,53
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium autoethanogenum",18,9,90,334,11,47
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Shimazuella*Shimazuella kribbensis",18,11,67,29,10,16
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halobacteroidaceae*Selenihalanaerobacter*Selenihalanaerobacter shriftii",127,21,66,80,32,102
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Paraliobacillus*Paraliobacillus ryukyuensis",40,28,43,45,18,21
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus stratosphericus",15,61,34,82,12,29
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus oeni",11,5,6,25,11,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Desmospora*Desmospora activa",26,35,30,56,11,10
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Aureibacillus*Aureibacillus halotolerans",46,36,38,58,33,41
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus testis",72,75,52,95,14,19
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Gracilibacillus*Gracilibacillus sp. TD8",33,61,39,31,52,181
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium HGW-Firmicutes-5",33,47,75,32,17,43
"Bacteria*Firmicutes*Clostridia*Clostridiales*Syntrophomonadaceae*Dethiobacter*Dethiobacter sp.",36,42,84,51,11,27
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM29-12LB",57,97,11,23,32,34
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Brevibacillus*Brevibacillus reuszeri",60,54,48,92,44,16
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Aerococcus*Aerococcus christensenii",18,31,37,87,14,60
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus acidipiscis",108,11,9,59,6,12
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus italicus",30,32,18,86,15,26
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus bogoriensis",35,64,82,53,14,14
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus satsumensis",37,18,17,87,14,38
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Thermincola*Thermincola ferriacetica",16,18,85,33,3,20
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Dialister*Dialister micraerophilus",39,129,51,62,22,102
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Gracilibacillus*Gracilibacillus orientalis",114,36,41,130,18,20
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Alicyclobacillus*Alicyclobacillus contaminans",48,31,84,47,38,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus taichungensis",34,46,2,10,1,13
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Parvimonas*Parvimonas sp. oral taxon 110",40,22,22,93,10,12
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus uliginis",71,38,19,48,20,7
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Megasphaera*Megasphaera sp. BV3C16-1",63,41,93,97,19,186
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*Oscillibacter*Oscillibacter sp. KLE 1728",18,29,57,30,13,15
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Dorea*Dorea longicatena CAG:42",14,10,9,32,4,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*NA*Bacillaceae bacterium SIJ1",37,38,22,26,14,20
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Numidum*Numidum massiliense",59,49,36,99,22,76
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Alkalicoccus*Alkalicoccus halolimnae",63,41,10,52,20,2
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. 453mf",29,10,242,17,15,58
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*Romboutsia*Romboutsia sp. Marseille-P6047",3,175,33,20,10,42
"Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus*Acidaminococcus sp. AM33-14BH",53,27,38,55,18,33
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. OM06-15AC",118,36,26,115,24,4
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. N3.4",9,20,22,128,13,23
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Gracilibacillus*Gracilibacillus sp. YIM 98692",78,61,39,190,30,91
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Oceanobacillus*Oceanobacillus sp. AG",53,12,18,31,8,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus buchneri",31,22,12,80,9,19
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Ammoniphilus*Ammoniphilus oxalaticus",31,22,53,88,22,9
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Tindallia*Tindallia magadiensis",36,35,120,70,26,36
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Ignavigranum*Ignavigranum ruoffiae",44,12,24,46,7,23
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Amphibacillus*Amphibacillus sediminis",104,125,24,127,22,13
"Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Ureibacillus*Ureibacillus thermophilus",76,20,13,17,15,10
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus pectinilyticus",43,139,37,47,95,8
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Negativicoccus*Negativicoccus succinicivorans",11,9,33,27,5,39
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*Veillonella sp. ICM51a",55,45,6,25,9,28
"Bacteria*Firmicutes*Clostridia*Clostridiales*Caldicoprobacteraceae*Caldicoprobacter*Caldicoprobacter faecalis",13,27,39,34,6,5
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus psychroresistens",58,49,29,80,15,20
"Bacteria*Firmicutes*Bacilli*Bacillales*Staphylococcaceae*Macrococcus*Macrococcus canis",12,37,55,9,8,61
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. OV219",17,22,3,33,14,7
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Selenomonas*Selenomonas felix",27,48,93,49,24,6
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium tepidum",40,32,69,88,19,54
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Coprococcus*Coprococcus sp. AF19-8AC",28,62,460,197,13,61
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. 3H-10",10,111,7,70,21,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus sp. CSURQ0835",22,20,19,39,5,10
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus criceti",72,85,72,202,33,25
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus intermedius",16,46,20,35,6,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus licheniformis",44,70,35,60,19,16
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Brevibacillus*Brevibacillus borstelensis",11,23,29,45,18,10
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Salipaludibacillus*Salipaludibacillus agaradhaerens",34,26,16,30,18,9
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Alicyclobacillus*Alicyclobacillus acidiphilus",18,24,23,52,42,25
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus castaneae",31,21,13,122,31,10
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*Lachnospiraceae bacterium 3_1_46FAA",28,7,4,16,9,22
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*Selenomonas*Selenomonas sp. oral taxon 136",7,227,87,109,19,65
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus shenzhenensis",40,16,5,406,16,13
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Melghirimyces*Melghirimyces profundicolus",101,41,43,17,29,8
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Lysinibacillus*Lysinibacillus telephonicus",22,28,12,28,7,32
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus oryzisoli",25,49,14,61,50,21
"Bacteria*Firmicutes*NA*NA*NA*NA*Firmicutes bacterium ZCTH02-B6",25,81,58,87,14,25
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacteraceae*Ammonifex*Ammonifex sp.",44,27,7,16,5,19
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus timonensis",13,10,15,14,8,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. AFS043905",24,9,2,4,4,34
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*Exiguobacterium*Exiguobacterium sp. HF60",27,35,32,123,7,19
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*NA*Clostridiaceae bacterium AF18-31LB",60,63,32,79,11,31
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Enterococcus*Enterococcus sp. 190-7",24,50,35,65,31,6
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Vagococcus*Vagococcus sp. HDW17B",53,9,10,84,10,24
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus mali",75,187,30,67,18,70
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae*Carnobacterium*Carnobacterium divergens",40,38,45,60,41,58
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*Veillonella parvula",34,35,42,34,67,171
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*Peptoniphilus lacrimalis",57,55,19,36,21,25
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*Veillonella*Veillonella criceti",152,69,62,131,45,19
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Aerococcaceae*Aerococcus*Aerococcus urinaehominis",33,15,12,60,8,18
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*Halobacteroidaceae*Halonatronum*Halonatronum saccharophilum",55,34,23,48,11,11
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus naphthalenovorans",36,79,9,59,55,6
"Bacteria*Firmicutes*Bacilli*Bacillales*Alicyclobacillaceae*Effusibacillus*Effusibacillus pohliae",62,141,59,126,25,19
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus harenae",53,179,68,118,20,105
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. 1_1_41A1FAA",24,33,13,21,7,4
"Bacteria*Firmicutes*Bacilli*Bacillales*Thermoactinomycetaceae*Melghirimyces*Melghirimyces thermohalophilus",16,4,10,34,5,5
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus ndiopicus",58,64,26,55,15,18
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*Caldicellulosiruptor*Caldicellulosiruptor morganii",55,16,29,69,31,23
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. FSL R5-0912",28,60,400,11,11,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus herbarum",13,36,3,15,10,28
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus mesophilus",39,36,27,68,13,18
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. BC26",67,70,1,26,21,1
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*Thermoanaerobacterium*Thermoanaerobacterium sp. PSU-2",29,10,13,32,3,7
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus sp. YR335",25,9,21,39,63,311
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Blautia*Blautia sp. AM46-3MH",119,70,10,81,11,32
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Ruminococcus*Ruminococcus sp. AM18-44",15,28,11,26,7,4
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus sp. 257-1",79,35,9,286,12,3
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*Paenibacillus*Paenibacillus sp. HJL G12",112,66,54,31,6,15
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*Vagococcus*Vagococcus sp. HDW17A",23,17,15,30,7,7
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus acidominimus",41,29,11,80,15,5
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus*Streptococcus canis",38,49,24,92,27,23
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Bacillus*Bacillus circulans",73,58,97,67,31,60
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae*Weissella*Weissella confusa",16,28,3,31,18,47
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus*Lactobacillus gasseri",7,115,16,55,11,8
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*Desulfitobacterium*Desulfitobacterium dehalogenans",16,76,210,128,9,50
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*Thermoanaerobacterales Family III. Incertae Sedis*Caldicellulosiruptor*Caldicellulosiruptor owensensis",22,44,28,39,6,47
